episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
24,192,344,,cpu,7,-327.8966701584068,-46.84238145120097,0,True,False,,13,0,9,0.7380539689745221,0.045533302639211924,0.2731561277593885,1.4853153909955705,1.4853153909955705,1.9800453186035156,1.4853153909955705,,2.142857142857143,10,5,15,15,0,0,0,7.666666666666667,164.01852044938104,2.200376,10.6,3,4,3,5,1,0,0,1,100.0,-30.5,-131.0,0.0,0.0,-256.3966701584068,0.0,0
25,147,533,,cpu,6,-949.4443021560651,-158.24071702601086,2,True,False,2,17,0,11,0.2074442853530248,0.0041762399875248475,0.21675361692905426,2.746530612309774,2.746530612309774,2.2283676067988076,2.746530612309774,,2.5,10,4,15,15,0,0,0,9.466666666666667,202.0159655608974,2.5285664,10.6,3,4,3,5,0,0,0,2,100.0,-34.0,-131.0,0.0,-559.4435453414917,-325.0007568145734,0.0,0
26,277,222,,cpu,8,-578.2382160059659,-72.27977700074574,1,True,False,5,10,0,7,-0.2386779822409153,0.005312585417414084,0.1746991816908121,1.2996509671211243,1.2996509671211243,1.712206870317459,1.2996509671211243,,1.875,10,6,15,15,0,0,0,8.466666666666667,171.77807132600734,2.394745,10.6,3,4,3,5,1,1,1,3,200.0,-24.0,-131.0,0.0,-320.5616772174835,-282.6765387884824,0.0,0
27,293,123,,cpu,8,-1586.6243592850833,-198.3280449106354,4,True,False,2,14,0,10,-0.8835014253854752,0.04067325312644243,0.14318116754293442,2.0598979592323303,2.0598979592323303,1.5810865461826324,2.0598979592323303,,1.875,10,6,15,15,0,0,0,8.866666666666667,177.40321829415842,2.5054846,10.6,3,4,3,5,1,0,0,3,200.0,-35.5,-131.0,0.0,-1273.9322185516357,-306.1921407334475,0.0,0
28,254,480,,cpu,6,-2053.948155633764,-342.3246926056274,5,True,False,2,7,0,7,-1.4014803171157837,0.06325052678585052,0.12005672479669253,2.7220475673675537,2.745999256769816,1.9252228736877441,2.745999256769816,,2.5,10,4,15,15,0,0,0,6.6,114.49327582153684,1.6672211,8.6,3,4,3,5,1,0,0,0,50.0,-12.5,-131.0,0.0,-1735.7170283794403,-214.73112725432378,0.0,0
29,28,416,,cpu,7,-2720.4240201771854,-388.6320028824551,8,True,False,2,10,0,10,-1.1308971984045846,0.05669686730418887,0.10318519068615777,2.35416909626552,2.35416909626552,1.720787729535784,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,7.133333333333334,127.41624818063947,2.227555,9.6,3,4,3,5,0,0,0,2,100.0,-21.0,-131.0,0.0,-2391.571545600891,-236.8524745762944,0.0,0
30,15,559,,cpu,6,-2357.570866896414,-392.928477816069,6,True,False,2,8,0,7,-0.9190415740013123,0.02228552910188834,0.09001124401887257,2.8390181064605713,2.7399044036865234,2.3013329903284707,2.7399044036865234,,2.5,10,4,15,15,0,0,0,9.4,197.67255695992793,1.9195989,9.6,3,4,3,5,0,0,0,1,50.0,-17.5,-131.0,0.0,-1928.42777967453,-320.6430872218837,0.0,0
31,116,560,,cpu,10,-2368.5990190229663,-236.85990190229663,6,True,False,2,8,0,8,-0.25684996843338015,0.002858029355525105,0.080567716807127,1.6692684173583985,1.6461689949035645,1.2393684208393096,1.6461689949035645,,1.5,10,8,15,15,0,0,0,9.266666666666667,192.710985659124,2.9627807,9.6,3,4,3,5,0,1,0,0,0.0,-23.0,-131.0,0.0,-1847.8288650512695,-316.7701539716969,0.0,0
32,110,358,,cpu,150,-33417.60039038139,-222.7840026025426,71,False,True,24,352,351,275,-0.23370709295074146,0.11829667810661097,0.2505998630324999,0.9184245344003041,0.8660713255405426,0.16533780773480733,0.8660713255405426,,0.8866666666666667,10,80,133,133,0,0,0,8.25563909774436,183.26070145605811,2.17987,10.6,30,34,24,45,10,4,0,5,750.0,-12678.0,-1169.0,0.0,-16830.73444366455,-2469.865946716842,0.0,0
33,290,152,,cpu,13,-696.9847512482405,-53.61421163448004,1,True,False,10,18,0,13,0.4100440259163196,0.04666671199867359,0.06516237499622199,0.9597422526432917,0.9597422526432917,1.1021177952106183,0.9597422526432917,,1.3846153846153846,10,9,18,18,0,0,0,8.055555555555555,159.364602235619,2.832578,10.6,4,5,4,5,2,0,0,2,200.0,-57.5,-147.0,0.0,-299.73997473716736,-332.74477651107316,0.0,0
34,220,521,,cpu,62,-35366.72400913865,-570.431032405462,111,True,False,2,54,0,43,-0.6860500509820638,0.37860225440330864,0.06922513679150612,1.2197042963197153,1.1766949853589457,0.42125504439876926,1.1766949853589457,,1.0483870967741935,10,32,65,65,0,0,0,6.907692307692308,126.45404612357575,2.2127862,10.6,15,16,14,20,5,8,1,6,550.0,-756.5,-545.0,0.0,-33240.349102020264,-1024.8749071183838,0.0,0
35,186,476,,cpu,26,-4462.335125501016,-171.62827405773137,14,True,False,2,17,0,14,0.47169622778892517,0.1196354331735235,0.05798758709659943,1.2674055649684026,1.2628218485758855,0.6032681052501385,1.2628218485758855,,1.1923076923076923,10,15,31,31,0,0,0,7.32258064516129,129.64135414009976,1.929205,10.6,7,8,6,10,4,1,1,3,350.0,-150.5,-267.0,0.0,-3755.2161787318432,-499.61894676917245,0.0,0
36,227,313,,cpu,8,-277.8651936372052,-34.73314920465065,0,True,False,,14,0,11,1.1000209152698517,0.1237018583342433,0.05235838796943426,1.2996509671211243,1.2996509671211243,1.8520955443382263,1.2996509671211243,,1.875,10,6,15,15,0,0,0,8.733333333333333,178.71373763047202,2.3317032,10.6,3,4,3,5,1,0,0,3,200.0,-36.0,-131.0,0.0,0.0,-290.86519363720527,0.0,0
37,81,494,,cpu,7,-2740.614223698976,-391.51631767128225,8,True,False,2,17,0,13,1.3211477824619837,0.07635222694703511,0.0494911117213113,3.4321746826171875,3.4480490003313338,2.235475642340524,3.4480490003313338,,2.142857142857143,10,5,15,15,0,0,0,9.266666666666667,192.88799104327438,2.369023,9.6,3,4,3,5,0,0,0,3,150.0,-38.5,-131.0,0.0,-2373.92600774765,-317.1882159513258,0.0,0
38,203,431,,cpu,7,-266.0653560991072,-38.009336585586745,0,True,False,,19,0,15,1.0064747503825597,0.0911814027598926,0.04664110977734838,1.4853153909955705,1.4853153909955705,1.9312934194292342,1.4853153909955705,,2.142857142857143,10,5,15,15,0,0,0,7.4,139.2344836755831,1.879391,10.6,3,4,3,5,1,0,0,2,150.0,-41.0,-131.0,0.0,0.0,-244.0653560991072,0.0,0
39,184,415,,cpu,7,-317.5914139919845,-45.37020199885493,0,True,False,,18,0,16,0.7891564539500645,0.05607960160289492,0.04490273871592113,1.4853153909955705,1.4853153909955705,1.879474673952375,1.4853153909955705,,2.142857142857143,10,5,15,15,0,0,0,7.466666666666667,139.32134331850745,1.896155,10.6,3,4,3,5,1,0,0,1,100.0,-42.5,-131.0,0.0,0.0,-244.09141399198452,0.0,0
40,314,347,,cpu,5,-1555.613030803552,-311.1226061607104,4,True,False,2,11,0,8,0.5307299852371216,0.015178941935300828,0.0421650655567646,3.2958367347717283,3.2958367347717283,2.381296157836914,3.2958367347717283,,3.0,10,3,15,15,0,0,0,6.333333333333333,111.42628818866676,1.414908,10.6,3,4,3,5,1,0,0,0,50.0,-16.0,-131.0,0.0,-1246.546596288681,-212.06643451487088,0.0,0
