episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
15,mps,stone_canyon,150,-146452.53944731408,503,False,-9.429494721094768,4.356906322638194,0.06522130150347948,4.56144801457723,1.3216797518730163,3.2397682571411135,3383.601318359375,6776.380859375,6.234536374977324
16,mps,sullivan_canyon,150,-48459.70330354215,183,False,-0.1803676022651295,0.433416296838659,0.08353504172215859,4.564655602773031,1.3212489827473959,3.243406639099121,667.0614013671875,1513.6226806640625,6.187188542011427
17,mps,sullivan_canyon,150,-38765.56753596745,145,False,1.0042995845526457,0.42157210102945103,0.08310077427575986,4.571699765523275,1.3217674422264098,3.249932328859965,242.3828582763672,570.458984375,7.2246408330101985
18,mps,stone_canyon,150,-94642.78778135288,324,False,-3.1956119640668232,0.5794987157483895,0.05075220293054978,4.580470603307088,1.3213780045509338,3.2590925820668537,1061.2706298828125,2009.9619140625,6.685672749998048
19,mps,topanga_ridge,150,-9940.621124220406,30,False,4.543654232025147,1.5067448399712642,0.11090140860527754,4.587660827636719,1.320690099398295,3.2669707266489665,1352.7197265625,2480.2880859375,6.778456291998737
20,mps,stone_canyon,150,-163272.2837963172,568,False,-10.455566898981731,5.092632442712784,0.06717632412910461,4.593354425430298,1.3197538765271504,3.273600560824076,3576.647705078125,6448.82861328125,6.359255417017266
21,mps,stone_canyon,150,-147281.15011022222,504,False,-6.281727488835653,1.9178071360041697,0.06942453838884831,4.599106012980143,1.319485555489858,3.279620475769043,1882.5263671875,3296.983154296875,6.248882208019495
22,mps,topanga_ridge,150,-6562.117068523548,17,False,5.68363292435805,1.9058708857527624,0.10500973177452883,4.6007266585032145,1.3184940679868062,3.282232578595479,1973.015625,3455.865478515625,6.669699749996653
23,mps,sullivan_canyon,150,-53607.92877515224,198,False,1.5552454340582094,0.19591459054172447,0.07515998852749665,4.602204885482788,1.317623430887858,3.2845814577738444,630.78955078125,1167.834228515625,6.403141416987637
24,mps,sullivan_canyon,150,-54443.633414161624,198,False,1.3001821357093286,0.17227292139112838,0.07429434552788734,4.603369305928548,1.3160440150896708,3.287325310707092,382.319580078125,618.0770874023438,6.262635209015571
25,mps,topanga_ridge,150,-16006.840951863982,53,False,4.66705155968666,1.2877891912187138,0.09953179781635603,4.601486628850301,1.3131956752141316,3.288290959993998,1522.41259765625,2555.190673828125,6.150528124999255
26,mps,single_training,16,-272.9409491959157,0,True,2.730142153799534,0.349829088896513,0.01626841421239078,4.765555262565613,1.379871442914009,3.3856838643550873,45.09865951538086,72.27723693847656,1.1663678330078255
27,mps,sullivan_canyon,150,-45946.90090580395,171,False,1.1858492406069612,0.13283237675769763,0.09096465935309728,4.597245349884033,1.3079986429214479,3.289246686299642,296.37353515625,514.63037109375,6.26229704200523
28,mps,topanga_ridge,150,-3172.254173471088,3,False,4.730346428553263,1.3149163599560658,0.10192251337071259,4.593505837122599,1.3040653045972188,3.289440533320109,1464.824951171875,2499.35986328125,5.977764749986818
