episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
21,mps,150,-83049.69110945954,269,False,1.3583207585321118,0.24697409495783026,0.16624280268947284,4.5094478289286295,1.2424619062741598,3.2669859091440836,424.8782958984375,724.8215942382812,6.737372542003868
22,mps,150,-114522.20658310337,375,False,-1.5181899181660266,0.59690637748184,0.18473212564984956,4.503538907368978,1.237487473487854,3.2660514450073244,354.7821350097656,730.449462890625,6.507231583003886
23,mps,150,-116071.57665311325,379,False,-0.938481854336181,0.7515435895751369,0.16230504469325144,4.5035618178049726,1.23703342517217,3.2665283997853596,533.3289184570312,1254.1510009765625,5.9779495839902665
24,mps,150,-136025.00403717518,441,False,-2.824924511611462,1.3342013519385363,0.19495958731820187,4.504806617101034,1.2360986940066019,3.2687079350153607,771.715087890625,1418.603759765625,6.394608625007095
25,mps,150,-105703.70050954465,345,False,0.12058881292740505,0.42203925030114686,0.1638283491631349,4.507639306386312,1.233128391901652,3.2745109176635743,163.41046142578125,527.1661376953125,5.9273565000039525
26,mps,16,-195.1255605077641,0,True,10.55542653799057,4.698761016130447,0.033540509291924536,4.7880761325359344,1.341771513223648,3.4463046193122864,133.36639404296875,338.5653991699219,0.6341087500040885
27,mps,150,-112291.4056464636,367,False,-0.21874580202003321,0.574449014699591,0.13693126175552606,4.503963816960653,1.227297646999359,3.2766661564509074,342.4591064453125,680.9115600585938,6.087684291007463
28,mps,150,-128183.45778964221,423,False,-1.7885644813378652,0.7970573595840446,0.13051668907205263,4.493999883333842,1.2199583212534586,3.274041562080383,379.4956970214844,740.28076171875,6.964526541996747
29,mps,150,-130023.42748489817,423,False,-1.8365098623248437,0.5912918000265199,0.12764641081293424,4.481036748886108,1.209665556748708,3.2713711802164713,433.3273620605469,805.3395385742188,6.170200833003037
30,mps,150,-99284.18082746252,322,False,1.3433227499201894,0.41144902717542814,0.09876592593888442,4.470438400904338,1.2000916234652201,3.2703467798233032,890.1231689453125,1584.292724609375,6.680366042011883
31,mps,150,-111856.29014943026,366,False,0.6966743765585125,0.6628903613265842,0.11217260787884395,4.464649686813354,1.1954815061887105,3.26916818300883,1270.912841796875,2284.078369140625,6.228274583001621
32,mps,150,-91755.55352799683,306,False,1.9188367139191056,0.42049165237876274,0.10344438237448533,4.462754526138306,1.1955776556332907,3.2671768697102865,931.306640625,1615.568603515625,6.041958959016483
