episode,device,scenario,n_ticks,raw_reward,shaped_reward_total,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,shaping_mean_abs,value_grad_norm,other_grad_norm,wall_time_s
11,mps,stone_canyon,150,-79797.92165890527,-79797.61825890526,273,False,3.140849986622731,1.1048142830750627,0.059275231113036474,4.7303873030344645,1.3204658253987631,3.4099214633305865,0.09319600000000001,654.2369995117188,1175.838623046875,48.34650108398637
12,mps,stone_canyon,150,-109626.36485149889,-109626.28465149889,375,False,-0.35113056808710097,0.5973898706633676,0.05985018798460563,4.732200539906819,1.3208292826016743,3.411371264457703,0.04113466666666666,947.692626953125,2212.082275390625,47.10315416700905
13,mps,single_training,150,-98970.53389092792,-98970.5318909279,323,False,-0.3686752170807449,0.23585650220145699,0.0651869257291158,4.731551577250163,1.321299646695455,3.4102519130706788,0.001064,576.92333984375,1303.7347412109375,47.25761429101112
14,mps,single_training,150,-111254.24887276813,-111253.92187276817,364,False,-1.7084594747920832,0.38828337583855804,0.0945377786209186,4.7286912631988525,1.320942771434784,3.4077484957377115,0.07973733333333334,969.2211303710938,2236.39453125,47.917141833982896
15,mps,stone_canyon,150,-110903.24160555986,-110903.08520555988,378,False,0.17880202451099952,0.13319020759137856,0.05708555361876885,4.719009135564169,1.3182072027524312,3.400801928838094,0.06163200000000002,191.13540649414062,609.2581787109375,46.66741695799283
16,mps,single_training,150,-97838.49608634156,-97838.36308634155,323,False,0.8009477467338244,0.1063420817111061,0.07759126837054889,4.715954723358155,1.3149699552853902,3.4009847688674926,0.035316,379.66058349609375,899.1876831054688,46.94358175000525
17,mps,stone_canyon,150,-155088.56440824366,-155088.77340824367,533,False,-3.8556640110413234,0.7931273350243767,0.06656919360781709,4.7111344782511395,1.3128200634320577,3.3983144187927246,0.08118533333333335,1312.9654541015625,2626.74072265625,46.74876545800362
18,mps,single_training,150,-103036.96356219483,-103038.49536219478,333,False,0.9141909601942947,0.15789399538150975,0.08014890835930903,4.709448308944702,1.310077026685079,3.399371288617452,0.032932,692.0821533203125,1593.49755859375,46.90321595798014
19,mps,stone_canyon,150,-171805.56337858926,-171805.3851785892,594,False,-5.106970159113407,1.3079712455525685,0.06577223977694908,4.706238304773967,1.3061407105127971,3.4000975958506268,0.05930533333333333,1946.399658203125,4116.18603515625,47.575758457998745
20,mps,single_training,7,-55.16211937036762,-55.16111937036762,0,True,7.91393027986799,2.884190729686192,0.020812774609242166,4.750231674739292,1.3405951602118356,3.409636531557356,0.017057142857142858,71.06758117675781,105.43425750732422,0.6090082919981796
21,mps,single_training,150,-86085.40158250288,-86085.25318250289,281,False,3.1402314281463624,0.5128637608637412,0.05919651035219431,4.678867441813151,1.2873676816622417,3.391499768892924,0.062226666666666666,1022.7028198242188,1848.76904296875,46.74115383400931
22,mps,single_training,150,-114481.68806577503,-114482.44086577503,376,False,0.3196548314082126,0.07381540730282722,0.0677303242062529,4.669736083348592,1.277730843226115,3.3920052353541057,0.04214400000000001,252.736328125,540.2020874023438,48.40281724999659
23,mps,stone_canyon,150,-153964.43757742495,-153964.36577742497,525,False,-2.4018329020341236,0.5143137686895595,0.05880411123236021,4.662661905288696,1.2704319405555724,3.3922299766540527,0.03155333333333335,613.7988891601562,995.8432006835938,14.447229624987813
24,mps,single_training,150,-132280.89004983264,-132280.80864983264,428,False,-1.5563547965263327,0.29856371165645823,0.05893699512506525,4.647068710327148,1.2603098877271017,3.3867588408788047,0.041724000000000004,628.2051391601562,1292.4033203125,13.48505750001641
25,mps,single_training,150,-111972.89339639925,-111972.82299639928,365,False,0.36199481094876923,0.10606273517053827,0.05317397392665346,4.629070199330648,1.246902066866557,3.3821681626637776,0.03389066666666667,142.8839874267578,597.7771606445312,12.971486042020842
26,mps,single_training,16,-235.81932041196583,-235.81932041196583,0,True,8.43212115764618,3.069794461131096,0.011715888686012477,4.694033473730087,1.3001585751771927,3.39387483894825,0.0,186.5571746826172,295.14874267578125,1.31536354200216
