episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,aux_zone_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
14,mps,stone_canyon,150,-138899.02796027332,477,False,-0.7114145651576109,0.2381774991276408,0.06541228204965592,3.421657288869222,4.72693250656128,1.2725131956736246,3.4544193236033123,228.15487670898438,665.05419921875,10.764003874995979
15,mps,stone_canyon,150,-121167.13136762234,416,False,1.034992720267425,0.4740608895367495,0.06680311813950539,3.409857236544291,4.727193454106649,1.2732420897483825,3.4539513619740805,1185.4891357421875,3017.28857421875,10.71326079199207
16,mps,stone_canyon,150,-132310.58261951248,453,False,-1.5500194138040144,0.2574514460472468,0.06707178848485151,3.4284586413701374,4.727100378672282,1.2726112747192382,3.454489116668701,834.2778930664062,1899.4410400390625,10.91530066699488
17,mps,stone_canyon,150,-87114.96421027633,302,False,2.4310549484876294,0.8827420589151582,0.055165721513330934,3.4355866638819377,4.727010459899902,1.272032350699107,3.4549781052271524,495.6956787109375,824.835693359375,10.999239166994812
18,mps,stone_canyon,150,-129111.46390484423,446,False,-1.7816700242708128,0.29872099682816045,0.059512927929560346,3.418585042953491,4.724178473154704,1.2699553346633912,3.454223141670227,894.7177734375,1963.993896484375,10.728891583014047
19,mps,single_training,150,-142309.11982287132,470,False,-4.741444636980693,1.2191866618891558,0.06785223633050919,3.426754312515259,4.7236209360758465,1.2680868363380433,3.4555341084798177,2115.81640625,4478.3564453125,10.694634125015
20,mps,stone_canyon,150,-130959.74643022343,447,False,-2.2656703435540355,0.4159873356938618,0.0526463892745475,3.3876821931203205,4.720383803049724,1.2641170922915141,3.4562667258580526,1263.869140625,2788.975341796875,10.670949666004162
21,mps,stone_canyon,150,-94539.92593862768,326,False,1.5756264493738612,0.5032116728320882,0.056667348065723974,3.407143932978312,4.718379519780477,1.2614484683672587,3.4569310394922894,315.5670471191406,941.638916015625,10.530398000002606
22,mps,single_training,150,-126912.41977433494,420,False,-1.6108998193001995,0.22414394311598698,0.1100977033128341,3.435135316848755,4.721673520406087,1.2623075294494628,3.4593659845987954,316.4095458984375,595.4088745117188,10.406881750008324
23,mps,stone_canyon,150,-116835.63650089057,404,False,0.27372543850758424,0.11665203368000751,0.06730217259687682,3.4076477686564126,4.721647383371989,1.2620408248901367,3.459606539408366,124.9158706665039,472.4129638671875,10.38201649999246
24,mps,stone_canyon,150,-85335.1034143433,294,False,4.227654245148102,1.0233893794722584,0.053014000772188104,3.405214727719625,4.71998929977417,1.261207734743754,3.4587815968195597,1487.8907470703125,2803.485107421875,10.59814779201406
25,mps,single_training,13,-134.45036967223734,0,True,8.51401893909161,3.2058094281416674,0.010143486639628043,3.411081314086914,4.786686897277832,1.3226477641325731,3.4640391973348765,145.78561401367188,219.2106475830078,0.9668496249942109
26,mps,single_training,16,-223.8174268113738,0,True,8.66265720129013,3.3338871002197266,0.011240024236030877,3.400414928793907,4.78317254781723,1.3198507875204086,3.4633217453956604,183.49647521972656,378.684814453125,1.1209010840102565
27,mps,single_training,150,-140997.2835909032,462,False,-2.228391153092186,0.44672697210230883,0.06028393716240923,3.5155067825317383,4.715612856547038,1.2613051311175028,3.454307715098063,528.3270263671875,758.879638671875,10.279141416976927
28,mps,stone_canyon,150,-99464.33266021205,342,False,3.3695564521600803,0.6955765412237572,0.05732700474560261,3.409198732376099,4.71601482073466,1.2622631541887919,3.4537516609827676,1601.79443359375,3106.96435546875,10.200833291979507
