episode,ignition_name,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,value_grad_norm,other_grad_norm,wall_time_s
14,stone_canyon,mps,150,-113489.86916821563,392,False,-1.4184045819148379,0.4522037795805742,0.11628581151366234,4.131467769940694,161.43408203125,521.3899536132812,6.614764791011112
15,stone_canyon,mps,150,-98089.80424007728,337,False,-0.5067165019921959,0.1582575177881836,0.12561906911432744,4.1336061509450275,57.321048736572266,211.06332397460938,6.3804570409993175
16,stone_canyon,mps,150,-86458.1015874929,292,False,-0.25191993423427145,0.17935156592838364,0.0889288794497649,4.138035786946615,381.8097229003906,577.6898803710938,6.35307579099026
17,stone_canyon,mps,150,-111846.92902793817,386,False,-1.6828574797262748,0.41655155905745533,0.11270870598653952,4.15025022983551,692.1051635742188,1064.686279296875,6.492954582994571
18,sullivan_canyon,mps,150,-47369.38674440623,173,False,3.1570130201180775,0.5949031269550323,0.1296695054570834,4.1633657995859785,947.2528686523438,1587.565185546875,6.148247250006534
19,sullivan_canyon,mps,150,-57325.80628591392,208,False,2.0493480343275103,0.3191771491753213,0.13752666004002095,4.180417415301005,411.6933898925781,820.096923828125,6.08031554199988
20,stone_canyon,mps,150,-144713.13516012434,496,False,-5.075790644735098,2.0059874945906144,0.11251667586465676,4.200387136141459,1783.7606201171875,2810.33154296875,6.00436108399299
21,sullivan_canyon,mps,150,-56320.47993067925,215,False,1.817904042188699,0.339329857759504,0.16056995533406734,4.2143501440684,277.6775207519531,674.0565185546875,5.9671844160038745
22,topanga_ridge,mps,150,-7243.179823975739,20,False,5.571772067546845,1.7896041504542033,0.19108989800016085,4.229910984039306,1720.3448486328125,2796.022705078125,5.952014041991788
23,topanga_ridge,mps,150,-10757.386742426625,34,False,4.537864091793696,1.174837553302447,0.1778658745934566,4.237519076665243,1276.9095458984375,2073.594970703125,6.130518917008885
24,stone_canyon,mps,150,-158920.74459350458,545,False,-7.656094014445941,3.9674446802268117,0.12007991986970107,4.246193564732869,2647.2294921875,3889.408203125,6.0582340830005705
25,topanga_ridge,mps,150,-16752.674904539424,57,False,2.986564949452877,0.5586638118776803,0.17276704385876657,4.251549073855082,640.2899169921875,1013.1015014648438,5.893765083004837
26,stone_canyon,mps,150,-193568.62120491415,659,False,-10.47936645820737,6.927038329798597,0.1167272045214971,4.257710669835409,3242.53369140625,4940.8515625,6.189339582997491
27,stone_canyon,mps,150,-141281.2364852938,482,False,-6.103748969286681,2.2204012321174376,0.11612790569663048,4.264364182154337,1930.2850341796875,2730.4140625,5.997081791996607
28,stone_canyon,mps,150,-151146.85704384322,520,False,-6.901637300848961,2.90463609086078,0.12084592541058858,4.268527504603068,2337.746337890625,3302.67333984375,5.901725916992291
29,stone_canyon,mps,150,-144878.59939755744,495,False,-5.6708040178443,2.01461232209389,0.11956079656879107,4.2704708814620975,1366.5740966796875,1993.9830322265625,6.197013833996607
30,sullivan_canyon,mps,150,-55352.469679272224,215,False,0.24600923332075278,0.07956121242264393,0.15083420192201932,4.268937827746074,35.85519027709961,114.04026794433594,6.0872531670029275
31,topanga_ridge,mps,150,-10031.623986240076,30,False,3.63897399187088,0.7587225225071113,0.14573147182663282,4.272683895428975,1056.482666015625,1472.6007080078125,6.245639250002569
32,topanga_ridge,mps,150,-20340.905293919383,72,False,2.6093046327804528,0.42904934831650887,0.17152439589301746,4.277121478716532,686.5272827148438,999.8916015625,6.13378545800515
33,stone_canyon,mps,150,-130466.45251733945,447,False,-4.497446757654349,1.246272087519416,0.10438148488601048,4.280359913508097,1230.0255126953125,1720.8121337890625,6.060594291993766
34,topanga_ridge,mps,150,-18840.637207949396,66,False,2.595485080086316,0.4068612392384546,0.17747580982744693,4.282271358172099,687.6211547851562,990.947998046875,6.052139499995974
35,topanga_ridge,mps,150,-10971.557988624205,35,False,2.8907261443138124,0.5287384236004437,0.17485874245564142,4.282603993415832,855.0535888671875,1185.6837158203125,5.751174165998236
36,stone_canyon,mps,150,-116445.5929003164,399,False,-4.176314630222818,1.0485188568302206,0.10349314053853353,4.281348881721496,1101.0631103515625,1497.005126953125,6.112219291986548
